Measurement ID	Occurrence ID	MeasurementParent	MeasurementOfTaxon	Measurement Type	Measurement Value	Unit	Statistical Method	Remarks	Contributor	ReferenceID
M0185	C026		true	http://eol.org/schema/terms/SulcusType	http://eol.org/schema/terms/protrudingSulcus				Compiler: Anne E Thessen	R003
M0186	C026		true	http://purl.obolibrary.org/obo/OBA_1000075	http://eol.org/schema/terms/bluish-green				Compiler: Anne E Thessen	R003
M0187	C026		true	http://eol.org/schema/terms/CellLength	33	http://purl.obolibrary.org/obo/UO_0000017	http://www.ebi.ac.uk/efo/EFO_0001444		Compiler: Anne E Thessen	R003
M0188	C026		true	http://eol.org/schema/terms/CingulumLocation	http://purl.obolibrary.org/obo/FMA_74528				Compiler: Anne E Thessen	R003
M0189	C026		true	http://purl.obolibrary.org/obo/GO_0097618	http://purl.obolibrary.org/obo/PATO_0000467				Compiler: Anne E Thessen	R003
M0190	C026		true	http://purl.obolibrary.org/obo/OBA_1000092	http://purl.obolibrary.org/obo/PATO_0001596				Compiler: Anne E Thessen	R003
M0191	C026		true	http://purl.obolibrary.org/obo/OBA_1000018	http://purl.obolibrary.org/obo/PATO_0001499				Compiler: Anne E Thessen	R003
M0192	C026		true	http://purl.obolibrary.org/obo/OBA_1000096	http://eol.org/schema/terms/bluish-green				Compiler: Anne E Thessen	R003
M0193	C026		true	http://purl.obolibrary.org/obo/OBA_1000094	http://purl.obolibrary.org/obo/PATO_0001874				Compiler: Anne E Thessen	R003
M0194	C026		true	http://eol.org/schema/terms/ChloroplastQuantity	http://eol.org/schema/terms/numerous				Compiler: Anne E Thessen	R003
M0195	C026		true	http://eol.org/schema/terms/ChloroplastLocation	http://purl.obolibrary.org/obo/PATO_0002107				Compiler: Anne E Thessen	R003
M0196	C026		true	http://eol.org/schema/terms/CellLength	34	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001114		Compiler: Anne E Thessen	R003
M0197	C026		true	http://eol.org/schema/terms/CellLength	33	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001113		Compiler: Anne E Thessen	R003
M0198	C026		true	http://eol.org/schema/terms/CellWidth	22	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001114		Compiler: Anne E Thessen	R003
M0199	C026		true	http://eol.org/schema/terms/CellWidth	21	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001113		Compiler: Anne E Thessen	R003
M0200	C026		true	http://purl.obolibrary.org/obo/OBA_1000098	5	http://purl.obolibrary.org/obo/UO_0000017	http://www.ebi.ac.uk/efo/EFO_0001444		Compiler: Anne E Thessen	R003
M0201	C036		true	http://eol.org/schema/terms/CellShapeFrontal	http://eol.org/schema/terms/oval2D				Compiler: Anne E Thessen	R031
M0202	C036		true	http://eol.org/schema/terms/CellLength	33.75	http://purl.obolibrary.org/obo/UO_0000017	http://www.ebi.ac.uk/efo/EFO_0001444		Compiler: Anne E Thessen	R031
