Identifier	ScientificName	Parent TaxonID	TaxonRank	TaxonomicStatus	scientificNameAuthorship	namePublishedInYear	Name According To	taxonRemarks	nomenclaturalStatus
T198	Gymnodinium paradoxum var. major	T197	variety	heterotypic synonym	Lemmermann		West and West 1906		
T354	Gymnodinium paradoxum f. astigmosa	T197	form	heterotypic synonym	Nygaard	1949			
T199	Gymnodinium parvum	T161	species		Larsen	1994			
T355	Gymnodinium parvulum	T199	species	lexical variant					
T200	Gymnodinium patagonicum	T161	species		Balech	1971			
T201	Gymnodinium paulseni	T161	species		Schiller	1928			
T356	Gymnodinium paulsenii	T201	species	lexical variant					
T357	Gymnodinium paulseinii	T201	species	lexical variant					
T202	Gymnodinium pavlae	T161	species		Popovsky	1990			
T203	Gymnodinium peisonis	T161	species		Schiller	1957			
T204	Gymnodinium perplexum	T161	species		van Meel	1969			
T205	Gymnodinium placidum	T161	species		Herdman	1922			
T206	Gymnodinium polycomma	T161	species		Larsen	1994			
T207	Gymnodinium posthiemale	T161	species		Schiller	1957			
T208	Gymnodinium prolatum	T161	species		Larsen	1994			
T209	Gymnodinium pseudomirabile	T161	species		Hansen & Flaim	2007			
T210	Gymnodinium pulchrum	T161	species		Schiller	1928			
T211	Gymnodinium pumilum	T161	species		Larsen	1994			
T212	Gymnodinium punctatum	T161	species		Pouchet	1887			
T213	Gymnodinium puniceum	T161	species		Kofoid & Swezy	1921			
T214	Gymnodinium purpureum	T161	species		Skuja	1956			
T215	Gymnodinium pygmaeum	T161	species		Lebour	1925			
T216	Gymnodinium pyrocystis	T161	species		Jörgensen	1912			
T217	Gymnodinium radiatum	T161	species		Kofoid & Swezy	1921			
T218	Gymnodinium ravenescens	T161	species		Kofoid & Swezy	1921			
T219	Gymnodinium regulare	T161	species		van Meel	1969			
T220	Gymnodinium rhomboides	T161	species		Schütt	1895			
T224	Gymnodinium roseolum	T161	species		(Schmarda) Stein	1878			
T358	Peridinium roseolum	T224	species	homotypic synonym	Maggi	1880			
T225	Glenodinium roseolum	T224	species	homotypic synonym	Schmarda	1854			
T226	Gymnodinium roseostigma	T161	species		Campbell	1973			
T227	Gymnodinium rubricauda	T161	species		Kofoid & Swezy	1921			
T228	Gymnodinium rubrocinctum	T161	species		Lebour	1925			
T229	Gymnodinium schaefferi	T161	species		Morris	1937			
T230	Gymnodinium schuettii	T161	species		Schiller	1957			
T231	Gymnodinium scopulosum	T161	species		Kofoid & Swezy	1921			
T232	Gymnodinium semidivisum	T161	species		Schiller	1928			
T233	Gymnodinium situla	T161	species		Kofoid & Swezy	1921			
T234	Gymnodinium soyai	T161	species		Hada	1970			
T235	Gymnodinium sphaericum	T161	species		(Calkins) Kofoid & Swezy	1921			
T236	Gymnodinium gracile var. sphaerica	T235	variety	homotypic synonym	Calkins	1902			
T237	Gymnodinium sphaeroideum	T161	species		Kofoid	1931			
T238	Gymnodinium stellatum	T161	species		Hulburt	1957			
T239	Cystodinium steinii	T240	species	homotypic synonym	Klebs				
T359	Cystodinium steini	T239	species	lexical variant					
T240	Gymnodinium steini	T161	species		(Klebs) Lindemann	1928			
T241	Gymnodinium submontanum	T161	species		Schiller	1957			
T360	Gymnodinium albulum	T241	species	heterotypic synonym	Lindemann		Schiller 1933		
T242	Gymnodinium subroseum	T161	species		Campbell	1973			
T243	Gymnodinium subrufescens	T161	species		Martin	1929			
T244	Gymnodinium sulcatum	T161	species		Kofoid & Swezy	1921			
T245	Gymnodinium terrum	T161	species		Baumeister	1943			
T246	Gymnodinium thomasi	T161	species		Christen	1949			
T361	Gymnodinium thomasii	T246	species	lexical variant					
T247	Gymnodinium tintinnicola	T277	species	synonym	Lohmann	1908			
T248	Gymnodinium translucens	T161	species		Kofoid & Swezy	1921			
T249	Gymnodinium trapeziforme	T161	species		Attaran-Fariman & Bolch	2007			
T250	Gymnodinium triceratium	T161	species		Skuja	1939			
T251	Gymnodinium impar	T250	species	heterotypic synonym	Harris	1939			
T362	Gymnodinium asymmetricum	T250	species	heterotypic synonym	Woloszynska	1936			
T252	Gymnodinium uberrimum	T161	species		(Allman) Kofoid & Swezy	1921			
T253	Peridinium uberrima	T252	species	homotypic synonym	Allman	1855			
T254	Gymnodinium mirabile var. rufescens	T252	variety	heterotypic synonym	Penard	1891			
T363	Glenodinium uberrimum	T252	species	homotypic synonym	Schilling	1913			
T364	Gymnodinium bogoriense	T252	species	heterotypic synonym	Klebs	1912			
T365	Gymnodinium irregulare	T252	species	heterotypic synonym	Christen	1959			
T366	Gymnodinium obesum	T252	species	heterotypic synonym	Schiller	1933			
T367	Gymnodinium poculiferum	T252	species	heterotypic synonym	Skuja	1956			
T368	Gymnodinium rotundatum	T252	species	heterotypic synonym	Klebs	1912			
T369	Gymnodinium rufescens	T252	species	heterotypic synonym	Lemmermann	1910			
T370	Gymnodinium uberrimum var. rotundatum	T252	variety		Popovsky				
T371	Gyrodinium traunsteineri	T252	species	heterotypic synonym	Lindemann	1928			
T372	Melodinium uberrimum	T252	species	heterotypic synonym	Saville-Kent	1880/81			
T373	Gymnodinium ubberimum	T252	species	lexical variant					
T255	Gymnodinium uncatenum	T287	species	synonym	(Hulburt) Hallegraeff	2002	Hallegraeff GM (2002) Aquaculturists’ Guide to Hamful Australian Microalgae. 2nd ed. Hobart: University of Tasmania. 136 p.		
T256	Gyrodinium uncatenum	T255	species	synonym					
T257	Gymnodinium valdecompressum	T161	species		Campbell	1973			
T258	Gymnodinium variabile	T161	species		Herdman	1924			
T259	Gymnodinium varians	T161	species		Maskell	1877			
T260	Gymnodinium minimum	T259	species	heterotypic synonym	Klebs	1912			
T261	Gymnodinium venator	T161	species		Flø Jørgensen & Murray	2004			
T262	Amphidinium pellucidum	T261	species	homotypic synonym	Herdman	1922			
T374	Gymnodinium pellucidum	T261	species	homotypic synonym	(Herdman) Flø Jørgensen & Murray	2004			
T375	Amphidinium subsalsum	T261	species	heterotypic synonym	Biecheler	1952			
T263	Gymnodinium verruculosum	T161	species		Campbell	1973			
T264	Gymnodinium vestifici	T161	species		Schütt	1895			
T376	Gymnodinium vestificii	T264	species	lexical variant					
T265	Gymnodinium violescens	T161	species		Kofoid & Swezy	1921			
T266	Gymnodinium viridaliut	T161	species		Schiller	1957			
T267	Gymnodinium viridans	T161	species		van Meel	1969			
T268	Gymnodinium viridescens	T161	species		Kofoid	1931			
T269	Gymnodinium voukii	T161	species		Schiller	1928			
T270	Gymnodinium wawrikae	T161	species		Schiller	1957			
T271	Gymnodinium wilczeki	T161	species		Pouchet	1894			
T272	Gymnodinium wulffii	T161	species		Schiller	1933			
T377	Gymnodinium wulffi	T272	species	lexical variant					
T378	Gymnodinium wulfii	T272	species	lexical variant					
T273	Gymnodinium zachariasi	T161	species		Lemmermann	1900			
T274	Gymnodinium palustre	T273	species	heterotypic synonym	Zacharias	1899	Zacharias O (1899) Ueber Pseudopodienbildung bei einem Dinoflagellaten. Biologischen Centralblatt 19:141-144		
T379	Gymnodinium zachariasii	T273	species	lexical variant					
T275	Gymnodinium smaydae	T161	species						
T276	Dubosquella 	T256	genus						
T277	Dubosquella tintinnicola	T276	species						
T278	Nusuttodinium	T285	genus						
T280	Nusuttodinium acidotum	T278	species		(Nygaard) Takano & Horiguchi	2014			
T281	Gymnodinium acidotum	T280	species	synonym	Nygaard				
T282	Nusuttodinium aeruginosum	T278	species		(Stein) Takano & Horiguchi	2014			
T283	Nusuttodinium myriopyrenoides	T278	species		"(Yamaguchi, Nakayama, Kai & Inouye) Takano & Yamaguchi"	2014			
T284	Gymnodinium p.dorhni	T161	species						
T285	Gymnodiniaceae		family						
T286	Dubosquellidae		family						
T287	Levanderina fissa	T288	species		"(Levander) Moestrup, Hakanen, Hansen, Daugbjerg & Ellegaard"	2014	"Moestrup Ø, Hakanen P, Hansen G, Daugbjerg N, Ellegaard M (2014) On Levanderina fissa gen. & comb. nov. (Dinophyceae) (syn. Gymnodinium fissum, Gyrodinium instriatum, Gyr. uncatenum), a dinoflagellate with a very unusual sulcus. Phycologia 53(3): 265-292."		
T288	Levanderina	T285	genus						
T289	Gymnodinium inusitatum	T161	species						
T290	Gymnodinium palustre	T291	species	synonym	(Schilling) Woloszynska	1917	"Wo?oszy?ska J (1917) Neue Peridineen-Arten, nebst Bemerkungen über den Bau der Hülle bei Gymno- und Glenodinium. Bull. Int. Acad. Sci. Cracovie, Cl. Sci., Math. Nat., Sér. B: Sc. Nat. 114–22."		
T291	Biecheleria pseudopalustris	T292	species		"(Schiller) Moestrup, Lindberg & Daugbjerg"	2009			
T223	Gymnodinium accuminatum	T291	species	lexical variant					
T292	Biecheleria	T285	genus						
T293	Spiniferodinium	T285	genus						
T294	Spiniferodinium palustre	T293	species		(Schilling) Kretschmann & Gottschling	2015			
T295	Gymnodinium palustre	T294	species	synonym	Schilling	1891	"Schilling, AJ (1891) Die Sü?wasserperideneen. Flora oder allgemeine botanische Zeitung 74:220-299."		
T380	Gymnodinium albertii	T161	species		Vozzhennikova			extinct taxon	
T381	Gymnodinium attedalense	T161	species		Cookson & Eisenack			extinct taxon	
T382	Endoscrinium attadalense	T381	species	synonym	(Cookson & Eisenack) Riding & Fensome			extinct taxon	
T383	Gymnodinium australiense	T161	species		Deflandre & Cookson			extinct taxon	
T384	Apteodinium australiense	T383	species	synonym	(Deflandre & Cookson) Williams			extinct taxon	
T385	Gymnodinium avellana	T161	species		Lejeune-Carpentier			extinct taxon	
T386	Dinogymnium avellana	T385	species	synonym	"(Lejeune-Carpentier) Evitt, Clarke & Verdier"			extinct taxon	
T387	Gymnodinium cretaceum	T161	species		Deflandre			extinct taxon	
T388	Dinogymnium cretaceum	T387	species	synonym	"(Deflandre) Evitt, Clarke & Verdier"			extinct taxon	
T389	Gymnodinium cretaceum var. undulacostata	T161	variety		Boltenhagen			extinct taxon	
T390	Dinogymnium cretaceum var. undulacostata	T389	variety	synonym				extinct taxon	
T391	Gymnodinium curvatum	T161	species		Vozzhennikova			extinct taxon	
T392	Gymnodinium dabendorfense	T161	species		Alberti			extinct taxon	
T393	Luxadinium dabendorfense	T392	species	synonym	(Alberti) Bujak & Davies			extinct taxon	
T394	Gymnodinium decorum	T161	species		Deflandre			extinct taxon	
T395	Dinogymnium decorum	T394	species	synonym	"(Deflandre) Evitt, Clarke & Verdier"			extinct taxon	
T396	Gymnodinium denticulatum	T161	species		Alberti			extinct taxon	
T397	Dinogymnium denticulatum	T396	species	synonym	"(Alberti) Evitt, Clarke & Verdier"			extinct taxon	
T398	Gymnodinium digitus 	T161	species		Deflandre			extinct taxon	
T399	Dinogymnium digitus	T398	species	synonym	"(Deflandre) Evitt, Clarke & Verdier"			extinct taxon	
T400	Gymnodinium digitus var. crassus 	T398	variety		Vozzhennikova			extinct taxon	
T401	Gymnodinium fehmarnense	T161	species		Morgenroth			extinct taxon	
T402	Gymnodinium gabonense 	T161	species		Deflandre			extinct taxon	
T403	Gymnodinium galeritum	T161	species		Deflandre			extinct taxon	
T404	Endoscrinium galeritum	T403	species	synonym	(Deflandre) Vozzhennikova			extinct taxon	
T405	Gymnodinium heterocostatum	T161	species		Deflandre			extinct taxon	
T406	Dinogymnium heterocostatum	T405	species	synonym	"(Deflandre) Evitt, Clarke & Verdier"			extinct taxon	
T407	Gymnodinium heterocostatum var. kolpaschevi	T405	variety		Vozzhennikova			extinct taxon	
T408	Gymnodinium hexagonum	T161	species		Deflandre-Rigaud			extinct taxon	
T409	Dinogymnium hexagonum	T408	species	synonym	"(Deflandre-Rigaud) Evitt, Clarke & Verdier"			extinct taxon	
T410	Gymnodinium hyalinum	T161	species		Vozzhennikova	1967		extinct taxon	
T411	Gymnodinium kasachstanicum	T161	species		Vozzhennikova			extinct taxon	
T412	Gymnodinium laticinctum	T161	species		Deflandre			extinct taxon	
T413	Dinogymnium laticinctum	T412	species	synonym	"(Deflandre) Evitt, Clarke & Verdier"			extinct taxon	
T414	Gymnodinium longicorne	T161	species		Vozzhennikova			extinct taxon	
T415	Gymnodinium longicornis	T161	species		Vozzhennikova			extinct taxon	
T416	Gymnodinium marthae	T161	species		Deflandre			extinct taxon	
T417	Dinogymnium marthae	T416	species	synonym	"(Deflandre) Evitt, Clarke & Verdier"			extinct taxon	
T418	Gymnodinium muticum	T161	species		Vozzhennikova	1967		extinct taxon	
T419	Gymnodinium nelsonense	T161	species		Cookson			extinct taxon	
T420	Dinogymnium nelsonense	T419	species	synonym	"(Cookson) Evitt, Clarke & Verdier"			extinct taxon	
T421	Gymnodinium parvimarginatum	T161	species		Cookson & Eisenack			extinct taxon	
T422	Scriniodinium parvimarginatum	T421	species	synonym	(Cookson & Eisenack) Eisenack			extinct taxon	
T423	Gymnodinium pontismariae	T161	species		Deflandre			extinct taxon	
T424	Gymnodinium pontis-mariae	T423	species	lexical variant	Deflandre			extinct taxon	
T425	Gymnodinium sibiricum	T161	species		Vozzhennikova			extinct taxon	
T426	Gymnodinium sphaerocephalum var. laevis	T427	variety		Vozzhennikova			extinct taxon	
T427	Gymnodinium sphaerocephalum	T161	species		Vozzhennikova			extinct taxon	
T428	Gymnodinium strombomorphum	T161	species		Deflandre			extinct taxon	
T429	Dinogymnium strombomorphum	T428	species	synonym	"(Deflandre) Evitt, Clarke & Verdier"			extinct taxon	
T430	Gymnodinium torulosum	T161	species		Deflandre			extinct taxon	
T431	Gymnodinium ventriosum	T161	species		Alberti			extinct taxon	
T432	Gymnodinium westralium	T161	species		Cookson & Eisenack			extinct taxon	
T433	Dinogymnium westralium	T432	species	synonym	"(Cookson & Eisenack) Evitt, Clarke & Verdier"			extinct taxon	
T434	Gyrodinium acrotrochum	T436	species		Larsen	1996			
T435	Gymnodinium acrotrochum	T434	species	synonym					
T436	Gyrodinium	T285	genus						
T437	Gymnodinium acuminatum	T291	species	synonym	Christen				
T438	Gymnodinium acutissimum				Okolodkov	1997			nom. Illeg.
T439	Herdmania litoralis	T441	species		Dodge	1981			
T440	Gymnodinium agile	T439	species	synonym	Herdman	1922			
T441	Herdmania	T813	genus						
T442	Gymnodinium agilis	T440		lexical variant					
T443	Peridiniopsis berolinense	T445	species		(Lemmermann) Bourrelly	1968			
T444	Gymnodinium alatum	T443	species	synonym	Litvienko	1963			
T445	Peridiniopsis	T814	genus						
T446	Gymnodinium alba		species						nom. Illeg.
T447	Gymnodinium albida		species		Lackey & Lackey	1970			nom. Illeg.
T448	Gymnodinium albidum		species		Lackey & Lackey	1970			nom. Illeg.
T449	Amphidinium amphidinioides	T451	species	synonym	(Geitler) Schiller	1932			
T450	Gymnodinium amphidinioides	T451	species	synonym	Geitler	1924			
T451	Nusuttodinium amphidinioides	T278	species		(Geitler) Takano & Horiguchi	2014			
T452	Cochlodinium archimedes	T815	species		(Pouchet) Lemmermann	1899			
T453	Gymnodinium archimedes	T452	species	synonym	Pouchet	1883			
T454	Gymnodinium archimedis	T452	species	lexical variant					
T455	Gymnodinium astigmatica				Christen	1959			nom. Illeg.
T456	Gymnodinium asymmetricum	T457	species	synonym	Massart	1900			
T457	Katodinium asymmetricum	T816	species		(Massart) Loeblich				
T458	Pelagodinium béii	T818	species		(Spero) Siano et al.	2010			
T459	Gymnodinium bei	T460	species	lexical variant					
T460	Gymnodinium béii	T458	species	synonym	Spero	1987			
T461	Heterodinium bicaudatum	T820	species		(Pavillard) Kofoid & Swezy	1921			
T462	Gymnodinium bicaudatum	T461	species	synonym	Pavillard	1905			
T463	Cystodinium bisetosum	T822	species		(Lindemann) Huber-Pestalozzi	1950			
T464	Gymnodinium bisetosum	T463	species	synonym	Lindemann				
T465	Katodinium fungiforme	T816	species		(Anissimova) Loeblich	1965			
T466	Gymnodinium blax	T465	species	synonym	Harris	1939			
T467	Katodinium bohemicum	T816	species		(Fott) Litvinenko	1977			
T468	Gymnodinium bohemicum	T467	species	synonym	Fott	1938			
T469	Gymnodinium boreale		species		Gaarder				nom. Illeg.
T470	Karenia brevis	T824	species		(Davis) Hansen & Moestrup	2000			
T471	Gymnodinium brene	T472	species	lexical variant					
T472	Gymnodinium breve	T470	species	synonym	Davis	1948			
T473	Gymnodinium brevis	T472	species	lexical variant					
T474	Karenia brevisulcata	T824	species		(Chang) Hansen & Moestrup	2000			
T475	Gymnodinium brevisulcatum	T474	species	synonym	Chang				
T476	Woloszynskia pascheri	T826	species		(Suchlandt) von Stosch	1973			
T477	Gymnodinium carinatum var. hiemalis	T476	variety		Woloszynska	1917			
T478	Gymnodinium carinatum	T291	species	synonym	Schilling	1891			
T479	Woloszynskia cestocoedes	T826	species		(Thompson) Thompson	1950			
T480	Gymnodinium cestocoetes	T479	species	synonym	Thompson	1947			
T481	Gymnodinium chiasmonetrum	T482	species		Norris	1961			nom. Illeg.
T482	Gyrodinium chiasmonetrium	T436	species		Norris	1961			
T483	Lepidodinium chlorophorum	T828	species		(Elbrächter & Schnepf) Hansen et al.	2007			
T484	Gymnodinium chloroforum	T485	species	lexical variant					
T485	Gymnodinium chlorophorum	T483	species	synonym	Elbrächter & Schnepf	1996			
T486	Takayama cladochroma	T829	species		(Larsen) de Salas et al.	2003			
T487	Gymnodinium cladochroma	T486							
T488	Gymnodinium cladochromum	T486							
T489	Balechina coerulea	T830	species		(Dogiel) Taylor	1976			
T490	Gymnodinium coerulea	T491	species	lexical variant					
T491	Gymnodinium coeruleum	T489	species	synonym	Dogiel	1906			
T492	Spatulodinium pseudonoctiluca	T831	species		(Pouchet) Cachon & Cachon	1969			
T493	Gymnodinium conicum	T492	species	synonym	Kofoid & Swezy	1921			
T494	Cochlodinium constrictum	T815	species		(Schütt) Lemmermann	1899			
T495	Gymnodinium constrictum	T494	species	synonym	Schütt				
T496	Gyrodinium contortum	T436	species		(Schütt) Kofoid & Swezy	1921			
T497	Gymnodinium contortum	T496	species	synonym	Schütt				
T498	Gyrodinium cornutum	T436	species		(Pouchet) Kofoid & Swezy	1921			
T499	Gymnodinium cornutum	T498	species	synonym	Pouchet				
T500	Gyrodinium schuetti	T436	species		(Schütt) Kofoid & Swezy	1921			
T501	Gymnodinium cornutum	T500	species	synonym	Schütt	1895			
T502	Tovellia glabra	T833	species		(Woloszynska) Moestrup et al.	2005			
T503	Gymnodinium coronatum var. glabrum	T502	variety	synonym	Woloszynska				
T504	Tovellia coronata	T833	species		(Woloszynska) Moestrup et al.	2005			
T505	Gymnodinium coronatum	T504	species	synonym	Woloszynska	1917			
T506	Gyrodinium corsicum	T436	species		Paulmier				
T507	Gymnodinium corsicum	T506	species						nom. Illeg.
T508	Gyrodinium coronatum var. glabrum	T436	variety		Woloszynska				
T509	Gymnodinium costatum var. glabrum	T508	variety	synonym	Woloszynska				
T510	Gyrodinium crassum	T436	species		(Pouchet) Kofoid & Swezy	1921			
T511	Gymnodinium crassum	T510	species	synonym	Pouchet	1885			
T512	Gymnodinium cruciatum		species		(Massart) Schiller				nomen nudum
T513	Chilodinium cruciatum	T834	species		Massart	1920			
T514	Gymnodinium cruciatum	T513	species	synonym	Massart				
T515	Gyrodinium cuneatum	T436	species		Kofoid & Swezy	1921			
T516	Gymnodinium cuneatum	T515	species						nom. Illeg.
T517	Gymnodinium cuspidatum		species		Cleve-Euler				nomen nudum
T518	Gymnodinium decussata		species						nom. Illeg.
T519	Gymnodinium dextrorsum		species						nom. Illeg.
T520	Cystodinium phaseolus	T822	species		Pascher	1928			
T521	Gymnodinium dimorphe	T520	species	synonym	Baumeister	1938			
T522	Gymnodinium diplococcus		species		Cleve-Euler				nomen nudum
T523	Gyrodinium dorsum	T436	species		Kofoid & Swezy	1921			
T524	Gymnodinium dorsum	T523	species						nom. Illeg.
T525	Gymnodinium dubium		species		Cleve-Euler				nomen nudum
T526	Glenodinium edax	T835	species		Schilling				
T527	Gymnodinium edax	T526	species						nom. Illeg.
T528	Lessardia elongata	T836	species		Saldarriaga & Taylor				
T529	Gymnodinium elonga	T530	species	lexical variant					
T530	Gymnodinium elongatum	T528	species	synonym	Hope	1954			
T531	Gyrodinium estuariale	T436	species		Hulburt	1957			
T532	Gymnodinium estuariale	T531							nom. Illeg.
T533	Gymnodinium exavatum	T535	species	lexical variant					
T534	Gymnodinium excavatum var. dextrorsum	T536	species	lexical variant					
T535	Gymnodinium excavatum	T291	species	synonym	Nygaard	1954			
T536	Gymnodinium excavatum var. dextrosum	T291	species	synonym	Nygaard	1954			
T537	Gymnodinium faba		species		Cleve-Euler				nomen nudum
T538	Gymnodinium falcatum	T539	species						nom. Illeg.
T539	Ceratoperidinium falcatum	T838	species		(Kofoid & Swezy) Reñé & de Salas	2013			
T540	Gyrodinium fissoides	T436	species		Elbrachter	1979			
T541	Gymnodinium fissoides	T540	species						nom. Illeg.
T543	Gymnodinium fissum	T287		synonym	Levander	1897			
T544	Glenodinium foliaceum	T835	species		Stein	1919			
T545	Gymnodinium foliaceum	T544	species						nom. Illeg.
T546	Karlodinium veneficum	T840	species		(Ballantine) Larsen	2000			
T547	Gymnodinium formica	T546	species	synonym					
T548	Crypthecodinium cohnii	T841	species		(Seligo) Chatton	1952			
T549	Gymnodinium fucorum	T548	species	synonym	Kuster	1908			
T550	Gymnodinium fungiforme	T465	species	synonym	Schiller	1933			
T551	Gymnodinium fungiforme	T465	species	synonym	Anisimova	1925			
T552	Gyrodinium fusiforme	T436	species		Kofoid & Swezy	1921			
T553	Gymnodinium fusiforme	T552	species						nom. Illeg.
T554	Gyrodinium falcatum	T436	species		Kofoid & Swezy	1921			
T555	Gymnodinium fusum	T554	species	synonym					
T556	Gymnodinium fusus	T554	species	synonym	Schütt	1895			
T557	Gymnodinium galatheanum	T546	species	synonym	Braarud	1957			
T558	Cochlodinium geminatum	T815	species		(Schütt) Lemmermann	1899			
T559	Gymnodinium geminatum	T558	species	synonym	Schütt	1895			
T560	Gymnodinium glabra	T502	species	synonym	Woloszynska	1918			
T561	Gymnodinium glaciale		species		Danysz	1886			nom. Illeg.
T562	Katodinium glandulum	T816	species		(Herdman) Loeblich	1965			
T563	Gymnodinium glandula	T562	species	synonym	Herdman	1924			
T564	Amphidinium conradii	T858	species		(Conrad) Schiller	1933			
T565	Gymnodinium glaucum	T564	species	synonym	Conrad	1926			
T566	Gymnodinium gracile var. exiguum		variety		Pouchet	1883			nomen nudum
T567	Gymnodinium gracilis		species		Lackey				nomen nudum
T568	Gyrodinium grave	T436	species		(Meunier) Kofoid & Swezy	1921			
T569	Gymnodinium grave	T568	species						nom. Illeg.
T570	Biecheleria baltica	T292	species		"(Biecheler) Moestrup, Lindberg & Daugbjerg"	2009			
T571	Gymnodinium halophila	T572	species	lexical variant					
T572	Gymnodinium halophilum	T570	species	synonym	Biecheler	1952			
T573	Gymnodinium helicoides		species						nom. Illeg.
T574	Cochlodinium helix	T815	species		(Pouchet) Lemmermann	1899			
T575	Gymnodinium helix	T574	species	synonym	Schütt	1895			
T576	Gymnodinium helix	T574	species	synonym	Pouchet	1887			
T577	Gyrodinium helveticum	T436	species		(Penard) Takano & Horiguchi	2004			
T578	Gymnodinium helveticum f. achroum	T577	form	synonym	Skuja	1948			
T579	Gymnodinium helveticum var. apiculatum	T577	variety	synonym					
T580	Gymnodinium helveticum	T577	species	synonym	Penard	1891			
T581	Gymnodinium helveticum var. apiculata	T577	variety	synonym	(Zacharias) Utermöhl				
T582	Gymnodinium hiemale	T476	species	synonym	Skvortzov	1927			
T583	Gymnodinium hiemale	T476	species	synonym	Woloszynska	1917			
T584	Gyrodinium hyalinum	T436	species		(Schilling) Kofoid & Swezy	1921			
T585	Gymnodinium hyalinum	T584	species	synonym	Schilling	1891			
T586	Gymnodinium inversum	T476	species	synonym	Nygaard	1949			
T587	Gymnodinium inversum var. elongatum	T476	variety	synonym	Nygaard	1949			
T588	Gymnodinium lachryma	T589	species						nom. Illeg.
T589	Gyrodinium lachryma	T436	species		(Meunier) Kofoid & Swezy	1921			
T590	Gymnodinium latum		species		Cleve-Euler				nomen nudum
T591	Gymnodinium lebourae	T492	species	synonym	Pavillard				
T592	Gymnodinium lebouriae	T492	species	synonym	Pavillard	1924			
T593	Gymnodinium lebourii	T492	species	synonym	Pavillard				
T594	Borghiella tenuissima	T859	species		(Lauterborn) Moestrup et al.	2008			
T595	Gymnodinium lens	T594	species	synonym	Fott	1957			
T596	Glenodinium lenticula	T835	species		Pouchet				
T597	Gymnodinium lenticula	T596	species						nom. Illeg.
T598	Spiniferodinium limneticum	T293	species		(Woloszynska) Kretschmann & Gottschling	2015			
T599	Gymnodinium limneticum	T598	species	synonym	Woloszynska	1935			
T600	Gyrodinium lingulifera	T436	species		Lebour	1925			
T601	Gymnodinium linguliferum	T600	species						nom. Illeg.
T602	Symbiodinium linucheae	T843	species		(Trench & Thinh) Lajeunesse	2001			
T603	Gymnodinium linucheae	T602	species	synonym	Trench & Thinh	1995			
T604	Gymnodinium loburare		species		Campbell	1973			nom. Illeg.
T605	Balechina marianae	T830	species		Taylor				
T606	Gymnodinium marianae	T605	species	synonym					
T607	Gymnodinium medium		species		Cleve-Euler				nomen nudum
T608	Gymnodinium metum		species		Hulburt	1957			nom. Illeg.
T609	Symbiodinium microadriaticum	T843	species		Freudenthal	1962			
T610	Gymnodinium microadriaticum	T609	species	synonym	(Freudenthal) Taylor	1971			
T611	Gymnodinium micrum	T546	species	synonym	(Leadbeater & Dodge) Loeblich	1970			
T612	Karenia mikimotoi	T824	species		(Miyake & Kominami) Hansen & Moestrup	2000			
T613	Gymnodinium mikimotoi	T612	species	synonym	Miyaki & Kominami	1935			
T614	Gymnodinium mikimotoii	T613	species	lexical variant					
T615	Gymnodinium mikinotoi	T613	species	lexical variant					
T616	Gymnodinium minutissimum		species		Massart	1901			nomen nudum
T617	Heterocapsa rotundata	T844	species		(Lohmann) Hansen	1995			
T618	Gymnodinium minutum	T617	species	synonym	Lebour	1925			
T619	Gymnodinium mirum	T476	species	synonym	Utermöhl	1923			
T620	Katodinium monadicum	T816	species		(Perty) Javornicky				
T621	Gymnodinium monadicum	T620	species	synonym	(Perty) Saville-Kent	1880			
T622	Katodinium woloszynskae	T816	species		(Schiller) Loeblich	1965			
T623	Gymnodinium musaei	T622	species	synonym	Danysz	1887			
T624	Gymnodinium musei	T622	species	synonym	Danysz	1887			
T625	Gymnodinium nagasakiense	T612	species	synonym	Takayama & Adachi	1985			
T626	Gymnodinium nagasakiensis	T625	species	lexical variant					
T627	Gymnodinium nagasakii	T625	species	lexical variant					
T628	Hemidinium nasutum	T846	species		Kofoid & Swezy	1921			
T629	Gymnodinium nasutum	T628	species	synonym	(Stein) Levander	1900			
T630	Biecheleria natalensis	T292	species		(Horiguchi & Pienaar) Moestrup	2009			
T631	Gymnodinium natalense	T630	species	synonym	Horiguchi & Pienaar	1994			
T632	Woloszynskia neglecta	T826	species		(Schilling) Thompson	1950			
T633	Gymnodinium neglectum	T632	species	synonym	(Schilling) Lindemann	1929			
T634	Gymnodinium neglectum var. astigmata	T632	variety	synonym	Christen	1959			
T635	Gymnodinium neglectum var. astigmatica	T634	variety	lexical variant					
T636	Akashiwo sanguinea	T847	species		(Hirasaka) Hansen & Moestrup	2000			
T637	Gymnodinium nelsoni	T636	species	synonym	Martin	1929			
T638	Gymnodinium nelsonii	T636	species	synonym	Martin	1929			
T639	Noctiluca miliaris	T853	species	synonym	Suriray	1816	"Lamarck 1816 Histoire naturelle des animaux sans vertèbres, présentant les caractères généraux et particuliers de ces animaux, leur distribution, leurs classes, leurs familles, leurs genres, et la citation des principales espèces qui s'y rapportent; précédée d'une introduction offrant la détermination des characteres essentiels de l'Aanimal , sa distinction du végétal et des autres corps naturels, enfin , l'eexposition des principes fondamentaux de la Zoologie. Tome second. pp. 1-568. Paris: Verdière, Libraire, quai des Augustins, No. 27."		nom. Inval.
T640	Gymnodinium noctiluca	T639	species	synonym	Pouchet	1885			
T641	Cystodinium novaculosum	T822	species		(Baumeister) Huber-Pestalozzi				
