Identifier	ScientificName	Parent TaxonID	TaxonRank	TaxonomicStatus	scientificNameAuthorship	namePublishedInYear	Name According To	taxonRemarks	nomenclaturalStatus
T822	Cystodinium	T823	genus		Klebs	1912			
T823	Phytodiniaceae		family						
T824	Karenia	T825	genus						
T825	Kareniaceae		family						
T826	Woloszynskia	T827	genus						
T827	Woloszynskiaceae		family						
T828	Lepidodinium	T285	genus						
T829	Takayama	T825	genus						
T830	Balechina	T812	genus						
T831	Spatulodinium	T832	genus						
T832	Kofoidiniaceae		family						
T833	Tovellia	T817	genus						
T834	Chilodinium	T812	genus		Massart				
T835	Glenodinium	T814	genus						
T836	Lessardia	T837	genus						
T837	Podolampadaceae		family						
T838	Ceratoperidinium	T839	genus						
T839	Ceratoperidiniaeceae		family						
T840	Karlodinium	T825	genus						
T841	Crypthecodinium	T842	genus						
T842	Crypthecodiniaceae		family						
T843	Symbiodinium	T819	genus						
T844	Heterocapsa	T845	genus						
T845	Heterocapsaceae		family						
T846	Hemidinium	T814	genus						
T847	Akashiwo	T285	genus						
T848	Noctiluca	T849	genus						
T849	Noctilucaceae		family						
T850	Parvodinium umbonatum		species		(Stein) Carty				
T851	Parvodinium	T852	genus		Carty	2008			
T852	Peridiniaceae		family						
T853	Noctiluca scintillans	T848	species		(Macartney) Kofoid & Swezy	1921			
T854	Oodinium	T855	genus						
T855	Oodiniaceae		family						
T856	Aureodinium	T819	genus						
T857	Warnowiaceae		family						
T858	Amphidinium	T285	genus						
T859	Borghiella	T860	genus						
T860	Borghiellaceae		family						
T861	Chytriodinium	T862	genus						
T862	Chytriodiniaceae		family						
T863	Gonyaulax	T864	genus						
T864	Gonyaulacaceae		family						
T865	Prosoaulax	T823	genus						
T866	Torodinium	T867	genus						
T867	Torodiniaceae		family						
T868	Ceratium	T869	genus						
T869	Ceratiaceae		family						
									
									
									
